scenario_id,wind_scenario,pv_scenario,Q_day,H_on,total_cost,incremental_total_cost,unit_cost,incremental_unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,on_hours
W4P3,4,3,36,12,177516.4234328767,138846.4264328767,4931.011762024353,3856.8451786910196,558.72,452.60400000000004,272.58639999999997,166.47039999999998,0.0,286.13360000000006,0.6321941476434146,0.5121234249713632,0.36780585235658536,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 15 23
W4P4,4,4,72,24,582062.7746328769,543392.7776328769,8084.205203234401,7547.121911567734,1056.7199999999998,387.964,668.7560000000001,0.0,0.0,387.964,1.0,0.36713982890453484,0.0,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W4P4,4,4,63,21,474310.26173287677,435640.2647328768,7528.734313220266,6914.92483702979,932.22,387.964,561.1118000000001,16.8558,0.0,371.1082,0.9565531853470941,0.39809079401857933,0.04344681465290594,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23
W4P4,4,4,54,18,373279.5365328768,334609.5395328768,6912.584009868088,6196.472954312533,807.72,387.964,469.30219999999997,49.5462,0.0,338.4178,0.8722917590291883,0.4189791016688951,0.1277082409708117,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23
W4P4,4,4,45,15,281119.1705328767,242449.17353287668,6247.092678508371,5387.759411841704,683.22,387.964,380.97220000000004,85.7162,0.0,302.2478,0.7790614593106576,0.4423872251983255,0.22093854068934232,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23
W4P4,4,4,36,12,197712.1994328767,159042.2024328767,5492.00553980213,4417.838956468797,558.72,387.964,287.9464,117.1904,0.0,270.7736,0.6979348599354579,0.4846320160366552,0.30206514006454205,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 15 23
W5P1,5,1,72,24,372829.90313287673,334159.90613287676,5178.193099067732,4641.109807401066,1056.7199999999998,819.4200000000001,395.9442,158.64419999999998,0.0,660.7758000000001,0.8063945229552612,0.625308312514195,0.19360547704473893,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W5P1,5,1,63,21,272296.6070328767,233626.6100328767,4322.168365601217,3708.358889410741,932.22,819.4200000000001,305.30640000000005,192.50639999999999,0.0,626.9136000000001,0.765069927509702,0.6724953337195083,0.234930072490298,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W5P1,5,1,54,18,191210.2940328767,152540.2970328767,3540.931370979198,2824.8203154236426,807.7199999999999,819.4200000000001,222.3924,234.09239999999997,0.0,585.3276000000001,0.7143193966464084,0.7246664685782204,0.2856806033535915,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23
W5P1,5,1,45,15,126939.85913287674,88269.86213287673,2820.885758508372,1961.5524918417052,683.22,819.4200000000001,212.7502,348.9502,0.0,470.4698000000001,0.5741497644675503,0.688606598167501,0.4258502355324497,部分满足,False,True,True,False,0 1 2 3 4 5 6 10 11 12 13 14 15 16 23
W5P1,5,1,36,12,64882.30913287672,26212.312132876723,1802.2863648021312,728.1197814687979,558.72,819.4200000000001,212.7502,473.4502,0.0,345.9698000000001,0.42221302872763666,0.6192185710194732,0.5777869712723633,部分满足,False,True,True,False,0 1 2 3 4 5 6 13 14 15 16 23
W5P2,5,2,72,24,464455.0190328767,425785.02203287673,6450.764153234399,5913.680861567733,1056.7199999999998,560.8599999999999,505.7104,9.850400000000008,0.0,551.0095999999999,0.9824369717933173,0.5214338708456355,0.01756302820668261,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
